Service name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2015 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2016-17 Australian Government Funding
Kuranya,2/66 Campbell Street,,MORUYA,NSW,2537,Southern Highlands,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-35.91178176,150.0797851," $710,799 "
Kuranya,2/66 Campbell Street,,MORUYA,NSW,2537,Southern Highlands,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-35.91178176,150.0797851," $765,362 "
Lake Macquarie CACPs,30 Barber Street,,MAYFIELD,NSW,2304,Hunter,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-32.89677163,151.7404831," $580,135 "
Your Aged Care at Home,49-51 Stanley Street,,BANKSTOWN,NSW,2200,South West Sydney,Home Care,,,,Your Aged Care at Home Ltd,Community Based,Major Cities of Australia,-33.92044411,151.0357114," $614,683 "
RSL LifeCare at Home,26 Archibald Street,,LYNEHAM,ACT,2602,ACT,Home Care,,,,RSL LifeCare Limited,Community Based,Major Cities of Australia,-35.24490268,149.1244882," $572,846 "
RSL LifeCare at Home,26 Archibald Street,,LYNEHAM,ACT,2602,ACT,Home Care,,,,RSL LifeCare Limited,Community Based,Major Cities of Australia,-35.24490268,149.1244882," $1,799,219 "
RSL LifeCare at Home,"Unit 7, 8 Bowra Street",,URUNGA,NSW,2455,Mid North Coast,Home Care,,,,RSL LifeCare Limited,Community Based,Outer Regional Australia,-30.49568242,153.0213122," $71,583 "
RSL LifeCare at Home,90 Veterans Parade,,NARRABEEN,NSW,2101,Northern Sydney,Home Care,,,,RSL LifeCare Limited,Community Based,Major Cities of Australia,-33.72410351,151.2867685," $582,216 "
RSL LifeCare at Home,64 Glebe Place,,PENRITH,NSW,2750,Nepean,Home Care,,,,RSL LifeCare Limited,Community Based,Major Cities of Australia,-33.751154,150.709989," $108,218 "
RSL LifeCare at Home,"Unit 7, 7 Hackett Lane",,BALLINA,NSW,2478,Far North Coast,Home Care,,,,RSL LifeCare Limited,Community Based,Inner Regional Australia,-28.86695,153.570617," $120,283 "
RSL LifeCare at Home,7 Bentinck Street,,BALLINA,NSW,2478,Far North Coast,Home Care,,,,RSL LifeCare Limited,Community Based,Inner Regional Australia,-28.86694921,153.5706174," $506,184 "
Living Care Home Care Services Coffs Harbour,18 Sand Street,,NORTH BOAMBEE VALLEY,NSW,2450,Mid North Coast,Home Care,,,,The Churches of Christ Property Trust,Religious,Inner Regional Australia,-30.30873298,153.0968251," $1,494,815 "
Living Care Home Care Services Shoalhaven,201 Illaroo Road,,NORTH NOWRA,NSW,2541,Illawarra,Home Care,,,,The Churches of Christ Property Trust,Religious,Inner Regional Australia,-34.85602682,150.583689," $1,379,022 "
Living Care Home Care Services Western Sydney,270 Dunmore Street,,PENDLE HILL,NSW,2145,Western Sydney,Home Care,,,,The Churches of Christ Property Trust,Religious,Major Cities of Australia,-33.80478939,150.9563118," $3,142,662 "
Living Care Home Care Services Wingecarribee,42 Brewster Street,,MITTAGONG,NSW,2575,South West Sydney,Home Care,,,,The Churches of Christ Property Trust,Religious,Inner Regional Australia,-34.45031442,150.4379756," $761,849 "
Lucan Care Dementia EACH Packages,1 Glover Street,,LILYFIELD,NSW,2040,Inner West,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.87138556,151.1578273," $1,135,338 "
Lucan Care EACH Packages,1 Glover Street,,LILYFIELD,NSW,2040,Inner West,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.87138556,151.1578273," $2,414,376 "
Macarthur Multicultural Community Aged Care Packages,Level 2 Centre Court,101 Queen Street,CAMPBELLTOWN,NSW,2560,South West Sydney,Home Care,,,,Macarthur Diversity Services Initiative Ltd,Charitable,Major Cities of Australia,-34.06537993,150.8147244," $620,831 "
MacKillop Community Care-Central Coast,The Stables 41 Gladesville Road,,HUNTERS HILL,NSW,2110,Northern Sydney,Home Care,,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.83397475,151.1420162," $1,049,765 "
Macleay Community Care Service,Cnr Forth St & Yealwood St,,KEMPSEY,NSW,2440,Mid North Coast,Home Care,,,,Community Gateway Incorporated,Community Based,Inner Regional Australia,-31.07776,152.836568," $579,565 "
Macleay Community Care Service,Cnr Forth St & Yealwood St,,KEMPSEY,NSW,2440,Mid North Coast,Home Care,,,,Community Gateway Incorporated,Community Based,Inner Regional Australia,-31.07776,152.836568," $84,962 "
RSL LifeCare at Home,47 Andover Street,,CARLTON,NSW,2218,South East Sydney,Home Care,,,,RSL LifeCare Limited,Community Based,Major Cities of Australia,-33.9726516,151.1212593," $361,931 "
RSL LifeCare at Home,47 Andover Street,,CARLTON,NSW,2218,South East Sydney,Home Care,,,,RSL LifeCare Limited,Community Based,Major Cities of Australia,-33.9726516,151.1212593," $268,706 "
Marco Polo Aged Care Services Limited CACPs,70 Waples Road,,UNANDERRA,NSW,2526,Illawarra,Home Care,,,,Marco Polo Aged Care Services Limited,Charitable,Major Cities of Australia,-34.45587511,150.8310887," $310,259 "
MCC - Young Community Care Program,61 Campbell Street,,YOUNG,NSW,2594,Southern Highlands,Home Care,,,,Mercy Aged and Community Care Ltd,Charitable,Inner Regional Australia,-34.32328101,148.2899619," $429,853 "
MCC Community Aged Care Packages EACH Dementia,61 Campbell Street,,YOUNG,NSW,2594,Southern Highlands,Home Care,,,,Mercy Aged and Community Care Ltd,Charitable,Inner Regional Australia,-34.32328101,148.2899619," $292,273 "
McLean Care Ltd,127 Bridge Street,,TAMWORTH,NSW,2340,New England,Home Care,,,,McLean Care Ltd,Charitable,Inner Regional Australia,-31.09380219,150.9157931," $293,082 "
Mercy Care Centre (MCC) Young CCP,61 Campbell Street,,YOUNG,NSW,2594,Southern Highlands,Home Care,,,,Mercy Aged and Community Care Ltd,Charitable,Inner Regional Australia,-34.32328101,148.2899619," $868,219 "
Mercy Health and Aged Care Inc,Poole Street,,ALBURY,NSW,2640,Riverina/Murray,Home Care,,,,Mercy Aged and Community Care Ltd,Charitable,Inner Regional Australia,-36.070072,146.914091," $241,722 "
Merimbula Home Nursing Service,33 Beach Street,,MERIMBULA,NSW,2548,Southern Highlands,Home Care,,,,Merimbula Home Nursing Service Pty Ltd,Private Incorporated Body,Outer Regional Australia,-36.88806893,149.9117918," $1,128,083 "
Merimbula Home Nursing Service - CACP,33 Beach Street,,MERIMBULA,NSW,2548,Southern Highlands,Home Care,,,,Merimbula Home Nursing Service Pty Ltd,Private Incorporated Body,Outer Regional Australia,-36.88806893,149.9117918," $409,056 "
Merimbula Home Nursing Service - Dementia EACH,33 Beach Street,,MERIMBULA,NSW,2548,Southern Highlands,Home Care,,,,Merimbula Home Nursing Service Pty Ltd,Private Incorporated Body,Outer Regional Australia,-36.88806893,149.9117918," $795,830 "
Mid North Coast Community Care,Victoria Street,,TAREE,NSW,2430,Mid North Coast,Home Care,,,,Integratedliving Australia Ltd,Community Based,Inner Regional Australia,-31.91297214,152.4627144," $159,575 "
Community Care Options Inc,20 Curacoa Street,,COFFS HARBOUR,NSW,2450,Mid North Coast,Home Care,,,,Community Care Options Inc,Community Based,Inner Regional Australia,-30.30109592,153.1196056," $2,053,782 "
Community Care Options Inc,20 Curacoa Street,,COFFS HARBOUR,NSW,2450,Mid North Coast,Home Care,,,,Community Care Options Inc,Community Based,Inner Regional Australia,-30.30109592,153.1196056," $1,078,883 "
Mid North Coast Flexible Care,Victoria Street,,TAREE,NSW,2430,Mid North Coast,Home Care,,,,Integratedliving Australia Ltd,Community Based,Inner Regional Australia,-31.91297214,152.4627144," $245,002 "
Mid North Coast In Home Dementia,Victoria Street,,TAREE,NSW,2430,Mid North Coast,Home Care,,,,Integratedliving Australia Ltd,Community Based,Inner Regional Australia,-31.91297214,152.4627144," $144,355 "
Midjum Cottage,3 Paulsgrove Street,,GWYNNEVILLE,NSW,2500,Illawarra,Home Care,,,,House With No Steps,Community Based,Major Cities of Australia,-34.40957577,150.8795078," $12,268 "
Mullauna Village CACP Program,7 Helen Street,,WESTMEAD,NSW,2145,Western Sydney,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.80486812,150.9929074," $883,654 "
Aged and Disability Care,22 Nelson Street,,FAIRFIELD,NSW,2165,South West Sydney,Home Care,,,,Core Community Services Limited,Community Based,Major Cities of Australia,-33.86853483,150.9547938," $1,509,341 "
Aged and Disability Care,22 Nelson Street,,FAIRFIELD,NSW,2165,South West Sydney,Home Care,,,,Core Community Services Limited,Community Based,Major Cities of Australia,-33.86853483,150.9547938," $1,909,274 "
Multicultural Home Care Packages,3a General Bridges Crescent,,DACEYVILLE,NSW,2032,South East Sydney,Home Care,,,,Sydney Multicultural Community Services Incorporated,Community Based,Major Cities of Australia,-33.926064,151.227674," $1,110,903 "
Ngangana Aboriginal Home Care Service,151 Fitzroy Street,,DUBBO,NSW,2830,Orana Far West,Home Care,,,,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,Inner Regional Australia,-32.2474968,148.6137709," $300,465 "
Murravale Aged Care Facility CACP,6-10 Haydon Street,,MURRURUNDI,NSW,2338,Hunter,Home Care,,,,Murravale Retirement Home Ltd,Community Based,Outer Regional Australia,-31.76757683,150.8420031," $56,496 "
Murray Vale CACPs,342 Wagga Road,,LAVINGTON,NSW,2641,Riverina/Murray,Home Care,,,,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,-36.04998927,146.937888," $409,955 "
Murrumbidgee Ethnic Dementia Care,220 b Banna Avenue,,GRIFFITH,NSW,2680,Riverina/Murray,Home Care,,,,Australian Unity Home Care Service Pty Ltd,Private Incorporated Body,Outer Regional Australia,-34.288615,146.047991," $177,141 "
Lifetime Connect Inc - Home Care Packages,23 Wallace Street,,MACKSVILLE,NSW,2447,Mid North Coast,Home Care,,,,Lifetime Connect Incorporated,Community Based,Outer Regional Australia,-30.706893,152.919107," $545,089 "
Lifetime Connect Inc - Home Care Packages,23 Wallace Street,,MACKSVILLE,NSW,2447,Mid North Coast,Home Care,,,,Lifetime Connect Incorporated,Community Based,Outer Regional Australia,-30.706893,152.919107," $800,289 "
Lifetime Connect Inc - Home Care Packages,23 Wallace Street,,MACKSVILLE,NSW,2447,Mid North Coast,Home Care,,,,Lifetime Connect Incorporated,Community Based,Outer Regional Australia,-30.706893,152.919107," $239,818 "
ARV Nepean Multicultural CACP,"Suite 1, 12 Tindale Street",,PENRITH,NSW,2750,Nepean,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.75479981,150.6979416," $491,082 "
New England Community Care Services,67 Killean Street,,INVERELL,NSW,2360,New England,Home Care,,,,McLean Care Ltd,Charitable,Outer Regional Australia,-29.76043511,151.1354318," $730,328 "
Newcastle Aged Care CACPs,"Suite 5, 36 Kemp Street",,THE JUNCTION,NSW,2291,Hunter,Home Care,,,,NovaCare Community Services Limited,Charitable,Major Cities of Australia,-32.93554984,151.760425," $708,331 "
Newcastle CACPs,30 Barber Street,,MAYFIELD,NSW,2304,Hunter,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-32.89677163,151.7404831," $303,037 "
Newcastle CACPs - Housing/Homeless,30 Barber Street,,MAYFIELD,NSW,2304,Hunter,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-32.89677163,151.7404831," $269,344 "
Ngangana Aboriginal CACPs Central West,Vaux Street,,COWRA,NSW,2794,Central West,Home Care,,,,Australian Unity Home Care Service Pty Ltd,Private Incorporated Body,Inner Regional Australia,-33.83647691,148.6915148," $63,785 "
Ngangana Aboriginal CACPs Lachlan,7 Melrose Street,,CONDOBOLIN,NSW,2877,Central West,Home Care,,,,Australian Unity Home Care Service Pty Ltd,Private Incorporated Body,Outer Regional Australia,-33.08702088,147.1456816," $124,226 "
North Coast Community Care,1 / 166 Hannell Street,,MARYVILLE,NSW,2293,Hunter,Home Care,,,,North Coast Community Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-32.914424,151.757642," $255,636 "
Northern Beaches Community Care Packages,"Unit 7/8, Level 1, 10 Park St",,MONA VALE,NSW,2103,Northern Sydney,Home Care,,,,Community Care (Northern Beaches) Limited,Community Based,Major Cities of Australia,-33.67581949,151.3056523," $1,706,419 "
Life Choices - Support Services,134-136 Church Street,,GLEN INNES,NSW,2370,New England,Home Care,,,,Glen Innes Severn Council,Local Government,Outer Regional Australia,-29.740242,151.7371368," $1,101,217 "
Northern Settlement Services CACP,8 Chaucer Street,,HAMILTON,NSW,2303,Hunter,Home Care,,,,Northern Settlement Services Limited,Community Based,Major Cities of Australia,-32.92330314,151.7449308," $620,844 "
Northern Sydney Region Community Care - Chinese,2 Chapman Avenue,,CHATSWOOD,NSW,2067,Northern Sydney,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.80106,151.181777," $293,148 "
Northern Sydney Region Community Care - Hornsby,2 Chapman Avenue,,CHATSWOOD,NSW,2067,Northern Sydney,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.80106,151.181777," $1,099,533 "
Northern Sydney Region Community Care - Italian,2 Chapman Avenue,,CHATSWOOD,NSW,2067,Northern Sydney,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.80106,151.181777," $64,489 "
Novacare EACH,"Suite 5, 36 Kemp Street",,THE JUNCTION,NSW,2291,Hunter,Home Care,,,,NovaCare Community Services Limited,Charitable,Major Cities of Australia,-32.93554984,151.760425," $608,218 "
Novacare EACH Dementia,"Suite 5, 36 Kemp Street",,THE JUNCTION,NSW,2291,Hunter,Home Care,,,,NovaCare Community Services Limited,Charitable,Major Cities of Australia,-32.93554984,151.760425," $588,147 "
Orana CACP,Shop 5/47-55 Market Street,,MUDGEE,NSW,2850,Orana Far West,Home Care,,,,Australian Unity Home Care Service Pty Ltd,Private Incorporated Body,Inner Regional Australia,-32.59158797,149.5900125," $19,361 "
Osborne Community Care EACH Service,37 Berry Street,,NOWRA,NSW,2541,Illawarra,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-34.8802749,150.5994037," $488,278 "
Our Lady of Consolation Home Care,32 Evans Road,,ROOTY HILL,NSW,2766,Western Sydney,Home Care,,,,Our Lady of Consolation Aged Care & Services Limited,Religious,Major Cities of Australia,-33.78276902,150.846673," $742,575 "
Our Lady of Consolation Home Care,32 Evans Road,,ROOTY HILL,NSW,2766,Western Sydney,Home Care,,,,Our Lady of Consolation Aged Care & Services Limited,Religious,Major Cities of Australia,-33.78276902,150.846673," $1,262,914 "
Our Lady of Consolation Home Care,32 Evans Road,,ROOTY HILL,NSW,2766,Western Sydney,Home Care,,,,Our Lady of Consolation Aged Care & Services Limited,Religious,Major Cities of Australia,-33.78276902,150.846673," $2,198,912 "
Our Lady of Consolation Home Care,32 Evans Road,,ROOTY HILL,NSW,2766,Western Sydney,Home Care,,,,Our Lady of Consolation Aged Care & Services Limited,Religious,Major Cities of Australia,-33.78276902,150.846673," $527,147 "
PAC - Northern Sydney Community Care,28 Lord Street,,ROSEVILLE,NSW,2069,Northern Sydney,Home Care,,,,The Presbyterian Church (New South Wales) Property Trust,Religious,Major Cities of Australia,-33.78242384,151.1809364," $411,929 "
Parramatta CACP's,"Level 1, 50 O'Connell Street",,PARRAMATTA,NSW,2150,Western Sydney,Home Care,,,,Southern Cross Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.80601245,151.0029048," $304,416 "
ARV Penrith CACP,"Suite 1, 12 Tindale Street",,PENRITH,NSW,2750,Nepean,Home Care,,,,Anglican Community Services,Religious,Major Cities of Australia,-33.75479981,150.6979416," $1,333,209 "
PAWA Community Care - Home Care Packages,Level 1,182 Liverpool Road,ASHFIELD,NSW,2131,Inner West,Home Care,,,,PAWA Community Care Inc,Community Based,Major Cities of Australia,-33.89015244,151.1268796," $1,101,871 "
Presbyterian Aged Care - Apsley Riverview Community Care,Cnr Hill & Derby Streets,,WALCHA,NSW,2354,New England,Home Care,,,,The Presbyterian Church (New South Wales) Property Trust,Religious,Outer Regional Australia,-30.98111,151.59417," $80,084 "
Presbyterian Aged Care - Ashfield Community Care,40 Charlotte Street,,ASHFIELD,NSW,2131,Inner West,Home Care,,,,The Presbyterian Church (New South Wales) Property Trust,Religious,Major Cities of Australia,-33.88551311,151.1261866," $818,368 "
Presbyterian Aged Care - Wescott Community Care,124-128 Fullerton Street,,STOCKTON,NSW,2295,Hunter,Home Care,,,,The Presbyterian Church (New South Wales) Property Trust,Religious,Major Cities of Australia,-32.89921884,151.786841," $384,212 "
Presbyterian Aged Care - Wescott Extended Aged Care,124-128 Fullerton Street,,STOCKTON,NSW,2295,Hunter,Home Care,,,,The Presbyterian Church (New South Wales) Property Trust,Religious,Major Cities of Australia,-32.89921884,151.786841," $503,391 "
RSL LifeCare at Home,50-56 McKell Avenue,,MOUNT AUSTIN,NSW,2650,Riverina/Murray,Home Care,,,,RSL LifeCare Limited,Community Based,Inner Regional Australia,-35.13658074,147.3473321," $204,910 "
RFBI Community Services Central Coast,Christopher Crescent,,GOROKAN,NSW,2263,Central Coast,Home Care,,,,Royal Freemasons' Benevolent Institution,Charitable,Major Cities of Australia,-33.24974,151.493343," $325,345 "
RFBI Community Services Lower Hunter,Kurri Kurri Masonic Village,412 Lang Street,KURRI KURRI,NSW,2327,Hunter,Home Care,,,,Royal Freemasons' Benevolent Institution,Charitable,Major Cities of Australia,-32.82504973,151.4650818," $1,092,517 "
RFBI Community Services Mid North Coast,4 Rawson Street,,BELLINGEN,NSW,2454,Mid North Coast,Home Care,,,,Royal Freemasons' Benevolent Institution,Charitable,Outer Regional Australia,-30.45566775,152.8966894," $408,452 "
RFBI Community Services New England,14-16 Kitchener Street,,TAMWORTH,NSW,2340,New England,Home Care,,,,Royal Freemasons' Benevolent Institution,Charitable,Inner Regional Australia,-31.097891,150.941601," $283,496 "
Riverina/Murray Area Branch - Home Care Service of NSW,"Level 4, The Gardens",470 Wodonga Place,ALBURY,NSW,2640,Riverina/Murray,Home Care,,,,Australian Unity Home Care Service Pty Ltd,Private Incorporated Body,Inner Regional Australia,-36.08179904,146.9108581," $200,574 "
Rockdale Community Service Inc - CACP,429  PRINCES HIGHWAY,,ROCKDALE,NSW,2216,South East Sydney,Home Care,,,,Rockdale Community Services Inc,Community Based,Major Cities of Australia,-33.94998283,151.1386812," $303,155 "
Rosedurnate Aged Care Plus Home Care,46 Orange Street,,PARKES,NSW,2870,Central West,Home Care,,,,The Salvation Army (NSW) Property Trust,Charitable,Outer Regional Australia,-33.13824782,148.1844314," $24,942 "
RSL Care Homecare Hunter,12 The Ridgeway,,BOLTON POINT,NSW,2283,Hunter,Home Care,,,,RSL Care RDNS Limited,Charitable,Major Cities of Australia,-33.00232609,151.6150926," $625,604 "
RSL HomeCare Hunter,12 The Ridgeway,,BOLTON POINT,NSW,2283,Hunter,Home Care,,,,RSL Care RDNS Limited,Charitable,Major Cities of Australia,-33.00232609,151.6150926," $214,210 "
Rumbalara Indigenous CACP - Southern Riverina Murray,Woomera Aboriginal Corporation,684 Daniel Street,ALBURY,NSW,2640,Riverina/Murray,Home Care,,,,Rumbalara Aboriginal Co-operative Ltd,Community Based,Inner Regional Australia,-36.058541,146.911558," $129,433 "
Rumbalara Indigenous CACP - Southern Riverina Murray & Southern Orana Far West,684 Daniel Street,,ALBURY,NSW,2640,Riverina/Murray,Home Care,,,,Rumbalara Aboriginal Co-operative Ltd,Community Based,Inner Regional Australia,-36.05826126,146.911623," $88,014 "
Rumbalara Indigenous EACH - Southern Riverina Murray & Southern Orana Far West,Woomera Aboriginal Corporation,684 Daniel Street,ALBURY,NSW,2640,Riverina/Murray,Home Care,,,,Rumbalara Aboriginal Co-operative Ltd,Community Based,Inner Regional Australia,-36.058541,146.911558," $384,106 "
Rumbalara Indigenous EACHD - Southern Riverina Murray,Woomera Aboriginal Corporation,684 Daniel Street,ALBURY,NSW,2640,Riverina/Murray,Home Care,,,,Rumbalara Aboriginal Co-operative Ltd,Community Based,Inner Regional Australia,-36.058541,146.911558," $209,671 "
Sapphire Coast Home Services,24 Hill Street,,BEGA,NSW,2550,Southern Highlands,Home Care,,,,Sapphire Coast Community Aged Care Ltd,Community Based,Outer Regional Australia,-36.67562265,149.8379836," $834,371 "
Services For Seniors - Tweed Heads,Suite 9,32 Bay Street,TWEED HEADS,NSW,2485,Far North Coast,Home Care,,,,The Churches of Christ Property Trust,Religious,Major Cities of Australia,-28.17124661,153.5427764," $359,532 "
Shoalhaven Aboriginal Aged & Disability Care Services,55 Judith Drive,,NORTH NOWRA,NSW,2541,Illawarra,Home Care,,,,Illaroo Co-operative Aboriginal Corporation,Community Based,Inner Regional Australia,-34.85776333,150.5753881," $522,556 "
Snowy River Home Living Support,Shop 1 Highdale Shopping Centre,Jindabyne Road,BERRIDALE,NSW,2628,Southern Highlands,Home Care,,,,Snowy Monaro Regional Council,Local Government,Outer Regional Australia,-36.364814,148.829358," $221,877 "
Southern Cross Community Care - Blacktown,St Francis Apartments,122 Hyatts Road,PLUMPTON,NSW,2761,Western Sydney,Home Care,,,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,-33.74485561,150.8332216," $244,123 "
Southern Cross Community Care - Botany Randwick,SouthernCross Kildare Apartments,216 Maroubra Road,MAROUBRA JUNCTION,NSW,2035,South East Sydney,Home Care,,,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,-33.941913,151.241914," $1,266,078 "
Southern Cross Community Care - Casino,66 Centre Street,,CASINO,NSW,2470,Far North Coast,Home Care,,,,Southern Cross Care (NSW & ACT),Religious,Inner Regional Australia,-28.8675855,153.0448958," $1,057,417 "
Southern Cross Community Care - Holroyd,45 Barcom Street,,MERRYLANDS WEST,NSW,2160,Western Sydney,Home Care,,,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,-33.83956733,150.9708538," $1,170,033 "
Southern Cross Community Care - Murray River,59 Napier Street,,DENILIQUIN,NSW,2710,Riverina/Murray,Home Care,,,,Southern Cross Care (NSW & ACT),Religious,Inner Regional Australia,-35.52969114,144.9607788," $1,656,103 "
Southern Cross Community Care - Parkes,"Shop 11-12, Village Square",167-169 Clarinda Street,PARKES,NSW,2870,Central West,Home Care,,,,Southern Cross Care (NSW & ACT),Religious,Outer Regional Australia,-33.14156338,148.1807852," $461,571 "
"Southern Cross Community Care, Gosford",7 Bias Avenue,,BATEAU BAY,NSW,2261,Central Coast,Home Care,,,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,-33.37655678,151.4805947," $1,225,166 "
Southern Highlands Remain at Home,"Suite 4, 409 Bong Bong Street",,BOWRAL,NSW,2576,South West Sydney,Home Care,,,,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,Inner Regional Australia,-34.48216219,150.4165627," $487,337 "
Southern New England Aboriginal CACP,"Unit 4, 454 Peel Street",,TAMWORTH,NSW,2340,New England,Home Care,,,,Council of the Shire of Uralla,Local Government,Inner Regional Australia,-31.09344702,150.932853," $250,893 "
St Andrew's Retirement Village CACP Service,Tribe Street,,TAMWORTH,NSW,2340,New England,Home Care,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-31.07208,150.918624," $807,081 "
St Basil's Community Care,130 Croydon Street,,LAKEMBA,NSW,2195,Inner West,Home Care,,,,St Basil's Homes,Charitable,Major Cities of Australia,-33.92641038,151.0801369," $484,821 "
St Basil's Homes Community Care,130 Croydon Street,,LAKEMBA,NSW,2195,Inner West,Home Care,,,,St Basil's Homes,Charitable,Major Cities of Australia,-33.92641038,151.0801369," $702,911 "
St Basil's Homes Community Care - South East Sydney,29 H Wandella Road,,MIRANDA,NSW,2228,South East Sydney,Home Care,,,,St Basil's Homes,Charitable,Major Cities of Australia,-34.03093756,151.0980751," $145,658 "
St Basil's Homes Community Care - South West Sydney,130 Croydon Street,,LAKEMBA,NSW,2195,Inner West,Home Care,,,,St Basil's Homes,Charitable,Major Cities of Australia,-33.92641038,151.0801369," $26,353 "
St Basil's Homes Flexible Care - Inner West EACH,130 Croydon Street,,LAKEMBA,NSW,2195,Inner West,Home Care,,,,St Basil's Homes,Charitable,Major Cities of Australia,-33.92641038,151.0801369," $788,266 "
St Basil's Homes Flexible Care - Inner West EACH Dementia,130 Croydon Street,,LAKEMBA,NSW,2195,Inner West,Home Care,,,,St Basil's Homes,Charitable,Major Cities of Australia,-33.92641038,151.0801369," $547,591 "
St Basil's Homes Flexible Care South East Sydney EACH,29 H Wandella Road,,MIRANDA,NSW,2228,South East Sydney,Home Care,,,,St Basil's Homes,Charitable,Major Cities of Australia,-34.03093756,151.0980751," $882,133 "
St Basil's Homes Flexible Care South East Sydney EACH Dementia,29 H Wandella Road,,MIRANDA,NSW,2228,South East Sydney,Home Care,,,,St Basil's Homes,Charitable,Major Cities of Australia,-34.03093756,151.0980751," $196,755 "
St Basil's Homes Flexible Care South West Sydney - EACH,130 Croydon Street,,LAKEMBA,NSW,2195,Inner West,Home Care,,,,St Basil's Homes,Charitable,Major Cities of Australia,-33.92641038,151.0801369," $368,555 "
St Basil's Homes Flexible Care South West Sydney - EACH Dementia,130 Croydon Street,,LAKEMBA,NSW,2195,Inner West,Home Care,,,,St Basil's Homes,Charitable,Major Cities of Australia,-33.92641038,151.0801369," $25,076 "
St Carthages Cathedral Parish - Community Care EACH Program,3 Jubilee Avenue,,GOONELLABAH,NSW,2480,Far North Coast,Home Care,,,,The Trustees of the Roman Catholic Church for the Diocese of Lismore,Religious,Inner Regional Australia,-28.81991028,153.3220431," $803,803 "
St Carthages Cathedral Parish - Community Care Italian CACP Program,3 Jubilee Avenue,,GOONELLABAH,NSW,2480,Far North Coast,Home Care,,,,The Trustees of the Roman Catholic Church for the Diocese of Lismore,Religious,Inner Regional Australia,-28.81991028,153.3220431," $256,922 "
St Carthage's Community Care,3 Jubilee Avenue,,GOONELLABAH,NSW,2480,Far North Coast,Home Care,,,,The Trustees of the Roman Catholic Church for the Diocese of Lismore,Religious,Inner Regional Australia,-28.81991028,153.3220431," $767,927 "
St Carthages Cathedral Parish Community Care EACH Dementia Program,3 Jubilee Avenue,,GOONELLABAH,NSW,2480,Far North Coast,Home Care,,,,The Trustees of the Roman Catholic Church for the Diocese of Lismore,Religious,Inner Regional Australia,-28.81991028,153.3220431," $245,605 "
St George MRC CACP's,552 Princes Highway,,ROCKDALE,NSW,2216,South East Sydney,Home Care,,,,Advance Diversity Services Inc,Community Based,Major Cities of Australia,-33.95391705,151.1380268," $1,375,946 "
St Hedwig CACP Service,140 Reservoir Road,,BLACKTOWN,NSW,2148,Western Sydney,Home Care,,,,St Hedwig Village,Religious,Major Cities of Australia,-33.78923592,150.8966023," $332,476 "
St Vincent's Care Services Sydney and Districts Home Care,21 Alice Street,,AUBURN,NSW,2144,Western Sydney,Home Care,,,,St Vincent's Care Services Ltd.,Religious,Major Cities of Australia,-33.84950477,151.0287885," $514,656 "
St Lukes Community Care,18 Roslyn Street,,POTTS POINT,NSW,2011,South East Sydney,Home Care,,,,St Luke's Care,Religious,Major Cities of Australia,-33.874564,151.225602," $1,717,586 "
St Lukes Community Care Dementia EACH,18 Roslyn Street,,POTTS POINT,NSW,2011,South East Sydney,Home Care,,,,St Luke's Care,Religious,Major Cities of Australia,-33.874564,151.225602," $687,725 "
